------------- opcode for test0 --------------
op: PUSH1 gas: 0x72ea gasCost: 3
op: PUSH2 gas: 0x72e7 gasCost: 3
op: DUP7 gas: 0x72e4 gasCost: 3
op: DUP3 gas: 0x72e1 gasCost: 3
op: DUP8 gas: 0x72de gasCost: 3
op: ADD gas: 0x72db gasCost: 3
op: PUSH2 gas: 0x72d8 gasCost: 3
op: JUMP gas: 0x72d5 gasCost: 8
op: JUMPDEST gas: 0x72cd gasCost: 1
op: PUSH1 gas: 0x72cc gasCost: 3
op: DUP2 gas: 0x72c9 gasCost: 3
op: CALLDATALOAD gas: 0x72c6 gasCost: 3
op: SWAP1 gas: 0x72c3 gasCost: 3
op: POP gas: 0x72c0 gasCost: 2
op: PUSH2 gas: 0x72be gasCost: 3
op: DUP2 gas: 0x72bb gasCost: 3
op: PUSH2 gas: 0x72b8 gasCost: 3
op: JUMP gas: 0x72b5 gasCost: 8
op: JUMPDEST gas: 0x72ad gasCost: 1
op: PUSH2 gas: 0x72ac gasCost: 3
op: DUP2 gas: 0x72a9 gasCost: 3
op: PUSH2 gas: 0x72a6 gasCost: 3
op: JUMP gas: 0x72a3 gasCost: 8
op: JUMPDEST gas: 0x729b gasCost: 1
op: PUSH1 gas: 0x729a gasCost: 3
op: PUSH2 gas: 0x7297 gasCost: 3
op: DUP3 gas: 0x7294 gasCost: 3
op: PUSH2 gas: 0x7291 gasCost: 3
op: JUMP gas: 0x728e gasCost: 8
op: JUMPDEST gas: 0x7286 gasCost: 1
op: PUSH1 gas: 0x7285 gasCost: 3
op: PUSH20 gas: 0x7282 gasCost: 3
op: DUP3 gas: 0x727f gasCost: 3
op: AND gas: 0x727c gasCost: 3
op: SWAP1 gas: 0x7279 gasCost: 3
op: POP gas: 0x7276 gasCost: 2
op: SWAP2 gas: 0x7274 gasCost: 3
op: SWAP1 gas: 0x7271 gasCost: 3
op: POP gas: 0x726e gasCost: 2
op: JUMP gas: 0x726c gasCost: 8
op: JUMPDEST gas: 0x7264 gasCost: 1
op: SWAP1 gas: 0x7263 gasCost: 3
op: POP gas: 0x7260 gasCost: 2
op: SWAP2 gas: 0x725e gasCost: 3
op: SWAP1 gas: 0x725b gasCost: 3
op: POP gas: 0x7258 gasCost: 2
op: JUMP gas: 0x7256 gasCost: 8
op: JUMPDEST gas: 0x724e gasCost: 1
op: DUP2 gas: 0x724d gasCost: 3
op: EQ gas: 0x724a gasCost: 3
op: PUSH2 gas: 0x7247 gasCost: 3
op: JUMPI gas: 0x7244 gasCost: 10
op: JUMPDEST gas: 0x723a gasCost: 1
op: POP gas: 0x7239 gasCost: 2
op: JUMP gas: 0x7237 gasCost: 8
op: JUMPDEST gas: 0x722f gasCost: 1
op: SWAP3 gas: 0x722e gasCost: 3
op: SWAP2 gas: 0x722b gasCost: 3
op: POP gas: 0x7228 gasCost: 2
op: POP gas: 0x7226 gasCost: 2
op: JUMP gas: 0x7224 gasCost: 8
op: JUMPDEST gas: 0x721c gasCost: 1
op: SWAP3 gas: 0x721b gasCost: 3
op: POP gas: 0x7218 gasCost: 2
op: POP gas: 0x7216 gasCost: 2
op: PUSH1 gas: 0x7214 gasCost: 3
op: PUSH2 gas: 0x7211 gasCost: 3
op: DUP7 gas: 0x720e gasCost: 3
op: DUP3 gas: 0x720b gasCost: 3
op: DUP8 gas: 0x7208 gasCost: 3
op: ADD gas: 0x7205 gasCost: 3
op: PUSH2 gas: 0x7202 gasCost: 3
op: JUMP gas: 0x71ff gasCost: 8
op: JUMPDEST gas: 0x71f7 gasCost: 1
op: PUSH1 gas: 0x71f6 gasCost: 3
op: DUP2 gas: 0x71f3 gasCost: 3
op: CALLDATALOAD gas: 0x71f0 gasCost: 3
op: SWAP1 gas: 0x71ed gasCost: 3
op: POP gas: 0x71ea gasCost: 2
op: PUSH2 gas: 0x71e8 gasCost: 3
op: DUP2 gas: 0x71e5 gasCost: 3
op: PUSH2 gas: 0x71e2 gasCost: 3
op: JUMP gas: 0x71df gasCost: 8
op: JUMPDEST gas: 0x71d7 gasCost: 1
op: PUSH2 gas: 0x71d6 gasCost: 3
op: DUP2 gas: 0x71d3 gasCost: 3
op: PUSH2 gas: 0x71d0 gasCost: 3
op: JUMP gas: 0x71cd gasCost: 8
op: JUMPDEST gas: 0x71c5 gasCost: 1
op: PUSH1 gas: 0x71c4 gasCost: 3
op: DUP2 gas: 0x71c1 gasCost: 3
op: SWAP1 gas: 0x71be gasCost: 3
op: POP gas: 0x71bb gasCost: 2
op: SWAP2 gas: 0x71b9 gasCost: 3
op: SWAP1 gas: 0x71b6 gasCost: 3
op: POP gas: 0x71b3 gasCost: 2
op: JUMP gas: 0x71b1 gasCost: 8
op: JUMPDEST gas: 0x71a9 gasCost: 1
op: DUP2 gas: 0x71a8 gasCost: 3
op: EQ gas: 0x71a5 gasCost: 3
op: PUSH2 gas: 0x71a2 gasCost: 3
op: JUMPI gas: 0x719f gasCost: 10
op: JUMPDEST gas: 0x7195 gasCost: 1
op: POP gas: 0x7194 gasCost: 2
op: JUMP gas: 0x7192 gasCost: 8
op: JUMPDEST gas: 0x718a gasCost: 1
op: SWAP3 gas: 0x7189 gasCost: 3
op: SWAP2 gas: 0x7186 gasCost: 3
op: POP gas: 0x7183 gasCost: 2
op: POP gas: 0x7181 gasCost: 2
op: JUMP gas: 0x717f gasCost: 8
op: JUMPDEST gas: 0x7177 gasCost: 1
op: SWAP2 gas: 0x7176 gasCost: 3
op: POP gas: 0x7173 gasCost: 2
op: POP gas: 0x7171 gasCost: 2
op: SWAP3 gas: 0x716f gasCost: 3
op: POP gas: 0x716c gasCost: 2
op: SWAP3 gas: 0x716a gasCost: 3
op: POP gas: 0x7167 gasCost: 2
op: SWAP3 gas: 0x7165 gasCost: 3
op: JUMP gas: 0x7162 gasCost: 8
op: JUMPDEST gas: 0x715a gasCost: 1
op: PUSH2 gas: 0x7159 gasCost: 3
op: JUMP gas: 0x7156 gasCost: 8
op: JUMPDEST gas: 0x714e gasCost: 1
op: PUSH1 gas: 0x714d gasCost: 3
op: PUSH2 gas: 0x714a gasCost: 3
op: DUP5 gas: 0x7147 gasCost: 3
op: DUP5 gas: 0x7144 gasCost: 3
op: DUP5 gas: 0x7141 gasCost: 3
op: PUSH2 gas: 0x713e gasCost: 3
op: JUMP gas: 0x713b gasCost: 8
op: JUMPDEST gas: 0x7133 gasCost: 1
op: PUSH1 gas: 0x7132 gasCost: 3
op: DUP1 gas: 0x712f gasCost: 3
op: CALLER gas: 0x712c gasCost: 2
op: SWAP1 gas: 0x712a gasCost: 3
op: POP gas: 0x7127 gasCost: 2
op: PUSH1 gas: 0x7125 gasCost: 3
op: PUSH1 gas: 0x7122 gasCost: 3
op: PUSH1 gas: 0x711f gasCost: 3
op: DUP8 gas: 0x711c gasCost: 3
op: PUSH20 gas: 0x7119 gasCost: 3
op: AND gas: 0x7116 gasCost: 3
op: PUSH20 gas: 0x7113 gasCost: 3
op: AND gas: 0x7110 gasCost: 3
op: DUP2 gas: 0x710d gasCost: 3
op: MSTORE gas: 0x710a gasCost: 3
op: PUSH1 gas: 0x7107 gasCost: 3
op: ADD gas: 0x7104 gasCost: 3
op: SWAP1 gas: 0x7101 gasCost: 3
op: DUP2 gas: 0x70fe gasCost: 3
op: MSTORE gas: 0x70fb gasCost: 3
op: PUSH1 gas: 0x70f8 gasCost: 3
op: ADD gas: 0x70f5 gasCost: 3
op: PUSH1 gas: 0x70f2 gasCost: 3
op: SHA3 gas: 0x70ef gasCost: 42
op: PUSH1 gas: 0x70c5 gasCost: 3
op: DUP4 gas: 0x70c2 gasCost: 3
op: PUSH20 gas: 0x70bf gasCost: 3
op: AND gas: 0x70bc gasCost: 3
