------------- opcode for test0 --------------
op: SWAP3 gas: 0x80f6 gasCost: 3
op: SWAP2 gas: 0x80f3 gasCost: 3
op: POP gas: 0x80f0 gasCost: 2
op: POP gas: 0x80ee gasCost: 2
op: JUMP gas: 0x80ec gasCost: 8
op: JUMPDEST gas: 0x80e4 gasCost: 1
op: SWAP3 gas: 0x80e3 gasCost: 3
op: POP gas: 0x80e0 gasCost: 2
op: POP gas: 0x80de gasCost: 2
op: PUSH1 gas: 0x80dc gasCost: 3
op: PUSH2 gas: 0x80d9 gasCost: 3
op: DUP6 gas: 0x80d6 gasCost: 3
op: DUP3 gas: 0x80d3 gasCost: 3
op: DUP7 gas: 0x80d0 gasCost: 3
op: ADD gas: 0x80cd gasCost: 3
op: PUSH2 gas: 0x80ca gasCost: 3
op: JUMP gas: 0x80c7 gasCost: 8
op: JUMPDEST gas: 0x80bf gasCost: 1
op: PUSH1 gas: 0x80be gasCost: 3
op: DUP2 gas: 0x80bb gasCost: 3
op: CALLDATALOAD gas: 0x80b8 gasCost: 3
op: SWAP1 gas: 0x80b5 gasCost: 3
op: POP gas: 0x80b2 gasCost: 2
op: PUSH2 gas: 0x80b0 gasCost: 3
op: DUP2 gas: 0x80ad gasCost: 3
op: PUSH2 gas: 0x80aa gasCost: 3
op: JUMP gas: 0x80a7 gasCost: 8
op: JUMPDEST gas: 0x809f gasCost: 1
op: PUSH2 gas: 0x809e gasCost: 3
op: DUP2 gas: 0x809b gasCost: 3
op: PUSH2 gas: 0x8098 gasCost: 3
op: JUMP gas: 0x8095 gasCost: 8
op: JUMPDEST gas: 0x808d gasCost: 1
op: PUSH1 gas: 0x808c gasCost: 3
op: DUP2 gas: 0x8089 gasCost: 3
op: SWAP1 gas: 0x8086 gasCost: 3
op: POP gas: 0x8083 gasCost: 2
op: SWAP2 gas: 0x8081 gasCost: 3
op: SWAP1 gas: 0x807e gasCost: 3
op: POP gas: 0x807b gasCost: 2
op: JUMP gas: 0x8079 gasCost: 8
op: JUMPDEST gas: 0x8071 gasCost: 1
op: DUP2 gas: 0x8070 gasCost: 3
op: EQ gas: 0x806d gasCost: 3
op: PUSH2 gas: 0x806a gasCost: 3
op: JUMPI gas: 0x8067 gasCost: 10
op: JUMPDEST gas: 0x805d gasCost: 1
op: POP gas: 0x805c gasCost: 2
op: JUMP gas: 0x805a gasCost: 8
op: JUMPDEST gas: 0x8052 gasCost: 1
op: SWAP3 gas: 0x8051 gasCost: 3
op: SWAP2 gas: 0x804e gasCost: 3
op: POP gas: 0x804b gasCost: 2
op: POP gas: 0x8049 gasCost: 2
op: JUMP gas: 0x8047 gasCost: 8
op: JUMPDEST gas: 0x803f gasCost: 1
op: SWAP2 gas: 0x803e gasCost: 3
op: POP gas: 0x803b gasCost: 2
op: POP gas: 0x8039 gasCost: 2
op: SWAP3 gas: 0x8037 gasCost: 3
op: POP gas: 0x8034 gasCost: 2
op: SWAP3 gas: 0x8032 gasCost: 3
op: SWAP1 gas: 0x802f gasCost: 3
op: POP gas: 0x802c gasCost: 2
op: JUMP gas: 0x802a gasCost: 8
op: JUMPDEST gas: 0x8022 gasCost: 1
op: PUSH2 gas: 0x8021 gasCost: 3
op: JUMP gas: 0x801e gasCost: 8
op: JUMPDEST gas: 0x8016 gasCost: 1
op: PUSH1 gas: 0x8015 gasCost: 3
op: PUSH1 gas: 0x8012 gasCost: 3
op: SWAP1 gas: 0x800f gasCost: 3
op: SLOAD gas: 0x800c gasCost: 2100
op: SWAP1 gas: 0x77d8 gasCost: 3
op: PUSH2 gas: 0x77d5 gasCost: 3
op: EXP gas: 0x77d2 gasCost: 10
op: SWAP1 gas: 0x77c8 gasCost: 3
op: DIV gas: 0x77c5 gasCost: 5
op: PUSH20 gas: 0x77c0 gasCost: 3
op: AND gas: 0x77bd gasCost: 3
op: PUSH20 gas: 0x77ba gasCost: 3
op: AND gas: 0x77b7 gasCost: 3
op: CALLER gas: 0x77b4 gasCost: 2
op: PUSH20 gas: 0x77b2 gasCost: 3
op: AND gas: 0x77af gasCost: 3
op: EQ gas: 0x77ac gasCost: 3
op: PUSH2 gas: 0x77a9 gasCost: 3
op: JUMPI gas: 0x77a6 gasCost: 10
op: JUMPDEST gas: 0x779c gasCost: 1
op: PUSH2 gas: 0x779b gasCost: 3
op: DUP3 gas: 0x7798 gasCost: 3
op: DUP3 gas: 0x7795 gasCost: 3
op: PUSH2 gas: 0x7792 gasCost: 3
op: JUMP gas: 0x778f gasCost: 8
op: JUMPDEST gas: 0x7787 gasCost: 1
op: PUSH1 gas: 0x7786 gasCost: 3
op: PUSH20 gas: 0x7783 gasCost: 3
op: AND gas: 0x7780 gasCost: 3
op: DUP3 gas: 0x777d gasCost: 3
op: PUSH20 gas: 0x777a gasCost: 3
op: AND gas: 0x7777 gasCost: 3
op: EQ gas: 0x7774 gasCost: 3
op: ISZERO gas: 0x7771 gasCost: 3
op: PUSH2 gas: 0x776e gasCost: 3
op: JUMPI gas: 0x776b gasCost: 10
op: JUMPDEST gas: 0x7761 gasCost: 1
op: PUSH2 gas: 0x7760 gasCost: 3
op: DUP3 gas: 0x775d gasCost: 3
op: PUSH1 gas: 0x775a gasCost: 3
